cnpj,ispb,corporate_name,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
06990590000123,06990590,GOOGLE BRASIL INTERNET LTDA,False,False,False,False,False,False,True
07170938000107,07170938,CNOVA COMERCIO ELETRONICO S.A.,False,False,False,False,False,False,True
07177549000103,07177549,INTERLIVRE TECNOLOGIA LTDA,False,False,False,False,False,False,True
07257631000130,07257631,PROX-SERVICE PROMOTORA DE VENDAS E SERVICOS LTDA.,False,False,False,False,False,False,True
07355049000106,07355049,BRASPAG - TECNOLOGIA EM PAGAMENTO LTDA,False,False,False,False,False,True,True
08022117000188,08022117,VITALCRED MEIOS DE PAGAMENTO S/A,False,False,False,False,False,False,True
08022117000269,08022117,VITALCRED MEIOS DE PAGAMENTO S/A,False,False,False,False,False,False,True
08212372000193,08212372,RR SOARES INFORMATICA LTDA,False,False,False,False,False,False,True
08462854000100,08462854,IOPASS TECNOLOGIA LTDA,False,False,False,False,False,False,True
08512462000108,08512462,PAGNET - GESTAO E SISTEMA DE CONTROLE DE VENDA E CONSUMO NO ENTRETENIMENTOLTDA.,False,False,False,False,False,False,True
08654191000117,08654191,MOVILE INTERNET MOVEL S.A.,False,False,False,False,False,False,True
08958435000155,08958435,ENTREGUE COMERCIO E SERVICOS LTDA,False,False,False,False,False,False,True
09083175000265,09083175,MOSAICO NEGOCIOS DE INTERNET S/A,False,False,False,False,False,False,True
09089356000118,09089356,GERENCIANET S/A,False,False,True,True,False,True,False
09339936000116,09339936,NS2.COM INTERNET S.A.,False,False,False,False,False,False,True
10213834000139,10213834,INFOSOLO INFORMATICA S.A,False,False,False,False,False,False,True
10457854000155,10457854,PAGCOM INVESTIMENTOS TECNOLOGIA E PARTICIPACOES LTDA.,False,False,False,False,False,False,True
10476626000122,10476626,SAN MARTINS SERVICOS E REPRESENTACAO COMERCIAL LTDA,False,False,False,False,False,False,True
10618359000180,10618359,GLOBAL EVENTOS E RECEBIVEIS BSB LTDA,False,False,False,False,False,False,True
34009957000110,34009957,CREDINOV ADMINISTRACAO FINANCEIRA LTDA,False,False,False,False,False,False,True
11200418000401,11200418,GFG COMERCIO DIGITAL LTDA.,False,False,False,False,False,False,True
