corporate_name_x,cnpj,profile,ispb,corporate_name_y,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
SCIC - SISTEMAS DE COBRANcAS E INFORMAcoES CADASTRAIS LTDA. - ME,07905082000162,IC,07905082,SCIC - SISTEMA DE COBRANCAS E INFORMACOES CADASTRAIS LTDA.,False,False,False,False,False,False,True
SEAC – SERGIPE ADMINISTRADORA DE CARToES E SERVIcOS LTDA (BANESE),03847413000102,IC,03847413,SEAC - SERGIPE ADMINISTRADORA DE CARTOES E SERVICOS LTDA,False,True,False,False,False,True,True
SENFF SOLUcoES EM TI LTDA,20150970000180,IC,20150970,SENFF SOLUCOES EM TI LTDA,False,False,False,False,False,False,True
SERVELOJA ADMINISTRADORA DE CREDITOS LTDA.,10773370000115,IC,10773370,SERVELOJA ADMINISTRADORA DE CREDITOS LTDA,False,False,False,False,False,False,True
SMPAG Smart Pagamentos e Servicos LTDA,08402531000112,IC,08402531,SMART PAGAMENTOS E SERVICOS LTDA,False,False,False,False,False,False,True
SOCIAL PAY LTDA,25015235000188,IC,25015235,UAI PAGUEI TECNOLOGIA E PAGAMENTOS LTDA,False,False,False,False,False,False,True
SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE,07945233000106,IF,07945233,POLOCRED - SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENOPORTE LTDA,False,False,True,False,True,True,False
SOLUTIONS ONE ASSESSORIA EMPRESARIAL LTDA,07292536000177,IC,07292536,SOLUTIONS ONE ASSESSORIA EMPRESARIAL LTDA,False,False,False,False,False,False,True
SOULPAY SOLUÇÕES DE PAGAMENTOS,22036090000103,IC,22036090,SOULPAY SOLUCOES DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
STARPAY MDRSOLUTION SERVICOS LTDA,05508946000187,IC,05508946,STARPAY MDRSOLUTION SERVICOS LTDA.,False,False,False,False,False,False,True
STELO S.A.,14625224000101,IC,14625224,STELO S.A,False,True,False,False,False,True,False
Stripe Brasil Soluções de Pagamento Ltda.,22121209000146,IC,22121209,STRIPE BRASIL SOLUÇÕES DE PAGAMENTO LTDA,False,True,False,False,False,True,False
SUMUP IC,16668076000120,IC,16668076,SUMUP SOLUÇÕES DE PAGAMENTO BRASIL LTDA,False,True,False,False,False,True,False
SYMPLA,14512528000154,IC,14512528,SYMPLA INTERNET SOLUCOES S/A,False,False,False,False,False,False,True
SYSDATA TECNOLOIA E PARTICIPAÇÕES LTDA,05406237000190,IC,05406237,SYSDATA TECNOLOGIA E PARTICIPACÕES LTDA,False,False,False,False,False,False,True
TG Brasil Servicos de Internet Ltda,10337124000110,IC,10337124,TG BRASIL SERVICOS DE INTERNET LTDA,False,False,False,False,False,False,True
TTRS SERVIcOS SA (Grupo Sympla),28469714000162,IC,28469714,TTRS SERVIÇOS S.A.,False,False,False,False,False,False,True
TYCOON TECHNOLOGY S/A,26615279000101,IC,26615279,TYCOON TECHNOLOGY S.A.,False,False,False,False,False,False,True
UBER DO BRASIL TECNOLOGIA LTDA,17895646000187,IC,17895646,UBER DO BRASIL TECNOLOGIA LTDA.,False,False,False,False,False,True,False
VIAPAY,23372939000182,IC,23372939,VIA PAY SOLUÇÕES E TECNOLOGIA EM MEIOS DE PAGAMENTO LTDA,False,False,False,False,False,True,False
VITAL BUSINESS PROMOTORA LTDA,16435769000172,IC,16435769,VITAL BUSINESS PROMOTORA LTDA.,False,False,False,False,False,False,True
WENOV - RP TECNOLOGIA EM CPTURAS E PROCESSAMENTO DE TRANSAcoES LTDA,14233366000115,IC,14233366,RP TECNOLOGIA E MEIOS DE PAGAMENTO S.A.,False,True,False,False,False,True,True
Wirecard Brazil Instituição de Pagamento S.A.,08718431000108,IC,08718431,WIRECARD BRASIL S.A.,False,True,True,False,False,True,False
YESPAY SOLUÇÕES DE PAGAMENTOS LTDA,31305932000176,IC,31305932,YESPAY SOLUCOES DE PAGAMENTOS LTDA,False,False,False,False,False,True,False
ZIGNET SOLUCOES DE PAGAMENTOS EIRELI,06540857000180,IC,06540857,ZIGNET SOLUCOES DE PAGAMENTOS EIRELI,False,False,False,False,False,False,True
Zoop Tecnologia e Meios de Pagamentos SA,19468242000132,IC,19468242,ZOOP TECNOLOGIA E MEIOS DE PAGAMENTO S.A.,False,False,True,False,False,True,False
